prefix,name,questrade_symbol_id
KIM,Kimco Realty,24860
KMI,Kinder Morgan,24870
KLAC,KLA-Tencor Corp.,24576
KSS,Kohl's Corp.,24988
KHC,Kraft Heinz Co,10398539
KR,Kroger Co.,25054
LB,L Brands Inc.,3565009
LLL,L-3 Communications Holdings,16224562
LH,Laboratory Corp. of America Holding,25199
LRCX,Lam Research,25275
LEG,Leggett & Platt,25490
LEN,Lennar Corp.,25543
LVLT,Level 3 Communications,1147802
LUK,Leucadia National Corp.,25562
LLY,Lilly (Eli) & Co.,25717
LNC,Lincoln National,25736
LLTC,Linear Technology Corp.,25745
LKQ,LKQ Corporation,25119
LMT,Lockheed Martin Corp.,25887
L,Loews Corp.,25891
LOW,Lowe's Cos.,26024
LYB,LyondellBasell,46402
MTB,M&T Bank Corp.,26113
MAC,Macerich,26285
M,Macy's Inc.,26313
MNK,Mallinckrodt Plc,3953451
MRO,Marathon Oil Corp.,26621
MPC,Marathon Petroleum,687497
MAR,Marriott Int'l.,26742
MMC,Marsh & McLennan,26740
MLM,Martin Marietta Materials,26757
MAS,Masco Corp.,26765
MA,Mastercard Inc.,26808
MAT,Mattel Inc.,26838
MKC,McCormick & Co.,26911
MCD,McDonald's Corp.,26919
MCK,McKesson Corp.,26937
MJN,Mead Johnson,26956
MDT,Medtronic plc,8818878
MRK,Merck & Co.,27192
MET,MetLife Inc.,27339
MTD,Mettler Toledo,27382
KORS,Michael Kors Holdings,1388146
MCHP,Microchip Technology,27437
MU,Micron Technology,27454
MSFT,Microsoft Corp.,27426
MAA,Mid-America Apartments,27465
MHK,Mohawk Industries,27780
TAP,Molson Coors Brewing Company,27808
MDLZ,Mondelez International,2596119
MON,Monsanto Co.,27876
MNST,Monster Beverage,10149442
MCO,Moody's Corp,27999
MS,Morgan Stanley,28020
MOS,The Mosaic Company,582988
MSI,Motorola Solutions Inc.,28134
MUR,Murphy Oil,28245
MYL,Mylan N.V.,9147658
NDAQ,NASDAQ OMX Group,28492
NOV,National Oilwell Varco Inc.,28605
NAVI,Navient,6078663
NTAP,NetApp,28766
NFLX,Netflix Inc.,28768
NWL,Newell Brands,29044
NFX,Newfield Exploration Co,29046
NEM,Newmont Mining Corp. (Hldg. Co.),29111
NWSA,News Corp. Class A,4087973
NWS,News Corp. Class B,3954441
NEE,NextEra Energy,29212
NLSN,Nielsen Holdings,11049909
NKE,Nike,29251
NI,NiSource Inc.,29286
NBL,Noble Energy Inc,29312
JWN,Nordstrom,29360
NSC,Norfolk Southern Corp.,29361
NTRS,Northern Trust Corp.,29514
NOC,Northrop Grumman Corp.,29549
NRG,NRG Energy,28374
NUE,Nucor Corp.,29735
NVDA,Nvidia Corporation,29814
ORLY,O'Reilly Automotive,30027
OXY,Occidental Petroleum,30065
OMC,Omnicom Group,30216
OKE,ONEOK,30316
ORCL,Oracle Corp.,30678
PCAR,PACCAR Inc.,31076
PH,Parker-Hannifin,31442
PDCO,Patterson Companies,31530
PAYX,Paychex Inc.,31547
PYPL,PayPal,10398545
PNR,Pentair Ltd.,6516819
PBCT,People's United Financial,31687
PEP,PepsiCo Inc.,31695
PKI,PerkinElmer,31728
PRGO,Perrigo,5128863
PFE,Pfizer Inc.,31867
PCG,PG&E Corp.,30946
PM,Philip Morris International,31892
PSX,Phillips 66,1913454
PNW,Pinnacle West Capital,32045
PXD,Pioneer Natural Resources,32060
PBI,Pitney-Bowes,32080
PNC,PNC Financial Services,31000
RL,Polo Ralph Lauren Corp.,865713
PPG,PPG Industries,31008
PPL,PPL Corp.,31015
PX,Praxair Inc.,32501
PCLN,Priceline.com Inc,32617
PFG,Principal Financial Group,32704
PG,Procter & Gamble,32749
PGR,Progressive Corp.,32798
PLD,Prologis,594452
PRU,Prudential Financial,33045
PEG,Public Serv. Enterprise Inc.,33065
PSA,Public Storage,33067
PHM,Pulte Homes Inc.,33103
PVH,PVH Corp.,715497
QRVO,Qorvo,8566801
PWR,Quanta Services Inc.,33253
QCOM,QUALCOMM Inc.,33237
DGX,Quest Diagnostics,33468
RRC,Range Resources Corp.,33729
RTN,Raytheon Co.,33787
O,Realty Income Corporation,33821
RHT,Red Hat Inc.,33845
REGN,Regeneron,33946
RF,Regions Financial Corp.,33978
RSG,Republic Services Inc,34085
RAI,Reynolds American Inc.,34222
RHI,Robert Half International,34406
ROK,Rockwell Automation Inc.,34454
COL,Rockwell Collins,34460
ROP,Roper Industries,34562
ROST,Ross Stores,34573
RCL,Royal Caribbean Cruises Ltd,47648
R,Ryder System,34820
CRM,Salesforce.com,35327
SCG,SCANA Corp,35573
SLB,Schlumberger Ltd.,35591
SNI,Scripps Networks Interactive Inc.,35668
STX,Seagate Technology,44570
SEE,Sealed Air,35713
SRE,Sempra Energy,35860
SHW,Sherwin-Williams,36078
SIG,Signet Jewelers,44616
SPG,Simon Property Group Inc,36304
SWKS,Skyworks Solutions,36461
SLG,SL Green Realty,34939
SNA,Snap-On Inc.,36532
SO,Southern Co.,36835
LUV,Southwest Airlines,36880
SWN,Southwestern Energy,36895
SE,Spectra Energy Corp.,36942
SPGI,"S&P Global, Inc.",13639227
SWK,Stanley Black & Decker,37090
SPLS,Staples Inc.,37104
SBUX,Starbucks Corp.,37125
STT,State Street Corp.,37166
SRCL,Stericycle Inc,37228
SYK,Stryker Corp.,37427
STI,SunTrust Banks,37622
SYMC,Symantec Corp.,37799
SYF,Synchrony Financial,7030277
SYY,Sysco Corp.,37862
TROW,T. Rowe Price Group,32615
TGT,Target Corp.,38138
TEL,TE Connectivity Ltd.,45011
TGNA,"Tegna, Inc.",10355376
TDC,Teradata Corp.,38432
TSO,Tesoro Petroleum Co.,38524
TXN,Texas Instruments,38552
TXT,Textron Inc.,38569
COO,The Cooper Companies,14796
HSY,The Hershey Company,21768
TRV,The Travelers Companies Inc.,39282
TMO,Thermo Fisher Scientific,38606
TIF,Tiffany & Co.,38718
